#{"t_start": 1669528629.1562078, "env_id": null}
r,l,t
11.5,1,3.376242
3.5,1,3.379235
6.5,1,3.382226
7.0,1,3.385261
4.5,1,3.3932
5.5,1,3.395195
8.5,1,3.398183
5.0,1,3.40022
14.5,1,3.408175
4.5,1,3.411169
4.0,1,3.41313
7.5,1,3.41612
5.0,1,3.423102
7.0,1,3.426118
-10,1,3.428113
7.0,1,3.431081
11.0,1,3.438114
11.0,1,3.441105
8.0,1,3.4431
3.0,1,3.446042
8.0,1,3.452056
10.5,1,3.455049
11.5,1,3.457044
-13,1,3.459028
5.0,1,3.465992
1.0,1,3.467985
10.0,1,3.470014
7.5,1,3.472999
6.5,1,3.478976
8.5,1,3.481977
9.5,1,3.483977
-0.5,1,3.486971
6.5,1,3.492951
8.0,1,3.49495
11.5,1,3.497904
6.5,1,3.4999
4.0,1,3.505881
4.5,1,3.508914
11.0,1,3.510906
8.0,1,3.513891
8.5,1,3.520055
3.0,1,3.522049
6.5,1,3.525042
1.5,1,3.527036
6.0,1,3.533021
4.5,1,3.535015
9.0,1,3.538007
8.0,1,3.540003
7.0,1,3.545994
0.5,1,3.54798
9.0,1,3.550972
10.5,1,3.552967
9.0,1,3.558343
4.0,1,3.561335
-13,1,3.564329
11.0,1,3.567319
7.0,1,3.573304
-10,1,3.576296
-1.0,1,3.57829
6.5,1,3.581282
4.5,1,3.587266
7.0,1,3.589261
4.5,1,3.592252
10.5,1,3.594247
9.5,1,3.600232
8.5,1,3.602227
4.5,1,3.605219
7.5,1,3.607214
7.5,1,3.613228
11.0,1,3.615222
6.5,1,3.618214
2.0,1,3.620209
5.0,1,3.625364
-13,1,3.628356
9.5,1,3.630351
8.5,1,3.633343
9.5,1,3.638279
7.5,1,3.641271
6.0,1,3.643266
6.0,1,3.64526
6.5,1,3.651244
8.5,1,3.654236
0.5,1,3.656231
6.0,1,3.658226
9.0,1,3.665207
9.0,1,3.668201
-13,1,3.670196
9.5,1,3.67219
8.0,1,3.677572
8.0,1,3.680573
8.0,1,3.683557
9.0,1,3.685552
6.5,1,3.691111
10.0,1,3.6941
3.5,1,3.696062
1.0,1,3.699054
11.5,1,3.704293
5.0,1,3.707287
10.5,1,3.709278
9.0,1,3.711275
4.0,1,3.717259
8.0,1,3.72026
-13,1,3.722246
5.0,1,3.724237
8.5,1,3.730191
8.0,1,3.733185
11.0,1,3.735176
2.5,1,3.737205
7.5,1,3.743159
4.0,1,3.745194
12.0,1,3.748142
-13,1,3.75014
-10,1,3.756569
5.5,1,3.758563
9.0,1,3.760558
8.0,1,3.763551
10.0,1,3.769361
9.0,1,3.771356
4.0,1,3.773352
9.0,1,3.776344
2.5,1,3.78233
6.0,1,3.78433
6.0,1,3.786318
4.0,1,3.78931
6.0,1,3.794818
-13,1,3.79781
2.5,1,3.800802
6.0,1,3.802796
12.0,1,3.807868
6.5,1,3.81086
5.5,1,3.812864
7.5,1,3.815847
4.5,1,3.821653
5.5,1,3.823647
5.0,1,3.825642
9.5,1,3.827637
9.0,1,3.833621
11.0,1,3.836613
4.0,1,3.838608
-13,1,3.840602
7.5,1,3.846641
3.5,1,3.848635
9.0,1,3.851629
8.0,1,3.853622
7.0,1,3.8588
9.0,1,3.861792
3.5,1,3.863787
8.0,1,3.866779
2.5,1,3.871964
9.0,1,3.873962
6.5,1,3.876958
6.5,1,3.878945
4.5,1,3.884901
2.0,1,3.887913
8.5,1,3.889917
8.0,1,3.891912
-13,1,3.897862
5.5,1,3.900858
7.5,1,3.902852
7.5,1,3.905844
2.5,1,3.910831
6.5,1,3.913852
6.5,1,3.916811
8.5,1,3.91881
11.5,1,3.924794
9.0,1,3.926788
7.0,1,3.929778
4.5,1,3.932769
7.0,1,3.937823
12.5,1,3.939819
7.0,1,3.942814
9.0,1,3.944776
6.0,1,3.950796
6.0,1,3.953786
9.0,1,3.955781
-10,1,3.957775
5.0,1,3.963725
7.5,1,3.966753
9.0,1,3.968747
2.5,1,3.970742
8.0,1,3.976726
10.5,1,3.978719
8.5,1,3.981714
11.5,1,3.983705
5.5,1,3.9887
11.0,1,3.99165
12.0,1,3.993645
0.0,1,3.996637
10.5,1,4.002858
9.5,1,4.004853
5.5,1,4.007846
5.5,1,4.009844
8.5,1,4.015823
7.0,1,4.018816
8.0,1,4.021811
3.0,1,4.024801
-13,1,4.030818
8.0,1,4.033842
8.0,1,4.035843
6.0,1,4.03783
4.0,1,4.043816
9.0,1,4.045807
4.5,1,4.048805
4.0,1,4.050795
5.0,1,4.056782
4.5,1,4.059775
7.0,1,4.061768
5.0,1,4.064747
4.5,1,4.070714
2.5,1,4.072736
6.5,1,4.07473
-13,1,4.076725
6.5,1,4.082712
7.0,1,4.085704
7.0,1,4.087698
7.0,1,4.089684
9.0,1,4.095203
4.5,1,4.098159
-13,1,4.101152
0.0,1,4.103146
8.5,1,4.110271
10.5,1,4.112262
4.5,1,4.115259
9.0,1,4.11825
10.0,1,4.123236
8.5,1,4.126229
0.5,1,4.128226
-13,1,4.131212
8.5,1,4.137199
9.5,1,4.139194
10.5,1,4.141189
12.5,1,4.144177
-13,1,4.150197
2.0,1,4.152189
8.0,1,4.15518
2.0,1,4.157178
8.5,1,4.163128
-13,1,4.165125
10.5,1,4.168113
9.5,1,4.170107
3.0,1,4.17607
12.0,1,4.178065
8.5,1,4.180061
-13,1,4.183053
10.5,1,4.188106
5.0,1,4.191103
7.5,1,4.193095
3.5,1,4.195091
7.5,1,4.201919
8.0,1,4.203913
9.5,1,4.205873
7.5,1,4.207867
6.5,1,4.214849
6.0,1,4.216848
3.0,1,4.218841
2.0,1,4.221833
6.0,1,4.226825
5.5,1,4.229809
6.0,1,4.231803
-13,1,4.234799
12.0,1,4.239793
4.0,1,4.242785
6.0,1,4.244779
8.0,1,4.246774
7.0,1,4.253631
6.5,1,4.255625
2.5,1,4.25762
10.5,1,4.259616
6.5,1,4.265605
1.0,1,4.268591
6.5,1,4.270585
6.0,1,4.273577
5.0,1,4.279858
5.0,1,4.281852
7.5,1,4.284844
8.5,1,4.286839
8.0,1,4.292261
11.0,1,4.295249
5.5,1,4.297213
8.0,1,4.300236
9.0,1,4.305216
1.0,1,4.308182
7.5,1,4.31021
-13,1,4.312177
9.0,1,4.318815
10.5,1,4.320814
4.0,1,4.322807
4.5,1,4.324801
-13,1,4.330785
10.0,1,4.333776
7.5,1,4.33577
5.0,1,4.337766
10.5,1,4.343234
9.0,1,4.345258
8.5,1,4.347192
9.5,1,4.350215
4.0,1,4.354206
11.0,1,4.356204
6.0,1,4.359191
6.0,1,4.361185
7.0,1,4.366173
10.0,1,4.368136
7.5,1,4.37013
12.0,1,4.373122
3.0,1,4.377146
7.5,1,4.379136
4.5,1,4.382105
2.5,1,4.385127
10.0,1,4.38913
10.5,1,4.391124
10.0,1,4.393101
4.5,1,4.396095
1.5,1,4.401047
1.5,1,4.403042
3.0,1,4.405036
9.5,1,4.408028
8.5,1,4.41206
9.0,1,4.415046
5.0,1,4.417055
8.0,1,4.419045
6.5,1,4.422988
5.5,1,4.426029
-11,1,4.428024
10.0,1,4.42997
-10,1,4.435005
-13,1,4.436989
8.0,1,4.439978
11.5,1,4.441969
7.0,1,4.445967
4.0,1,4.448921
4.0,1,4.451914
8.5,1,4.453909
4.5,1,4.457901
9.5,1,4.460912
6.5,1,4.462904
6.5,1,4.464918
11.5,1,4.469762
-13,1,4.471758
3.5,1,4.473752
0.5,1,4.475744
9.5,1,4.48073
8.0,1,4.482699
11.0,1,4.484692
6.0,1,4.487685
2.0,1,4.490673
7.5,1,4.4937
6.0,1,4.495683
10.0,1,4.498651
6.0,1,4.50267
7.0,1,4.504665
10.0,1,4.507661
8.5,1,4.509655
4.5,1,4.51464
9.5,1,4.517651
9.0,1,4.519643
3.5,1,4.521637
9.5,1,4.525579
5.5,1,4.528605
5.5,1,4.530566
2.5,1,4.533563
6.5,1,4.537208
9.0,1,4.539191
3.5,1,4.542192
2.5,1,4.544188
11.5,1,4.548176
3.0,1,4.551171
6.5,1,4.553164
7.5,1,4.555159
8.0,1,4.559115
6.5,1,4.56111
9.5,1,4.564104
-10,1,4.566097
9.0,1,4.57078
5.5,1,4.572773
8.0,1,4.57477
4.5,1,4.577763
12.0,1,4.581701
8.0,1,4.583696
8.0,1,4.58669
3.5,1,4.588712
8.0,1,4.592705
7.5,1,4.594699
1.5,1,4.597658
4.5,1,4.599653
9.5,1,4.603714
7.5,1,4.605708
5.0,1,4.60872
6.5,1,4.610714
6.5,1,4.614685
10.0,1,4.617674
4.0,1,4.619691
5.5,1,4.622694
6.5,1,4.626684
6.5,1,4.628676
11.0,1,4.631637
2.0,1,4.634631
7.5,1,4.638621
14.5,1,4.640615
6.5,1,4.642611
3.0,1,4.644632
6.5,1,4.649589
13.0,1,4.652611
6.5,1,4.654606
9.0,1,4.656599
1.5,1,4.660558
6.5,1,4.662552
2.5,1,4.665545
8.5,1,4.667539
10.0,1,4.671562
9.0,1,4.674562
-10,1,4.676565
3.5,1,4.67856
10.5,1,4.683531
7.5,1,4.685526
7.0,1,4.687509
6.5,1,4.690511
1.0,1,4.693478
6.5,1,4.696506
7.0,1,4.698457
9.0,1,4.701482
7.5,1,4.705472
5.5,1,4.707466
2.5,1,4.710456
11.5,1,4.712453
6.0,1,4.717428
8.0,1,4.719441
13.0,1,4.721427
8.5,1,4.72342
0.5,1,4.72738
12.0,1,4.730372
0.5,1,4.732367
5.0,1,4.735362
7.5,1,4.739355
9.5,1,4.741346
6.5,1,4.744358
9.0,1,4.746372
11.5,1,4.751321
3.5,1,4.75331
-13,1,4.756355
12.5,1,4.758347
8.5,1,4.762322
3.5,1,4.764314
4.5,1,4.767324
4.5,1,4.769271
5.5,1,4.774258
3.5,1,4.776249
1.0,1,4.778275
3.5,1,4.781236
-10,1,4.785229
8.5,1,4.788222
7.0,1,4.790215
3.0,1,4.792244
9.0,1,4.796229
6.5,1,4.799188
3.0,1,4.801186
13.0,1,4.803181
12.5,1,4.807167
12.0,1,4.810162
6.5,1,4.812185
3.5,1,4.814148
7.0,1,4.819138
5.5,1,4.821133
1.5,1,4.823155
7.0,1,4.826147
4.5,1,4.830111
11.0,1,4.833097
6.0,1,4.835097
12.0,1,4.838088
10.5,1,4.84165
11.0,1,4.843634
7.0,1,4.846636
3.0,1,4.848604
8.5,1,4.852571
9.0,1,4.855562
-13,1,4.857557
-13,1,4.859552
0.0,1,4.866534
6.5,1,4.868528
5.0,1,4.87152
9.0,1,4.873515
5.0,1,4.877667
4.0,1,4.879661
-10,1,4.882602
10.0,1,4.885629
5.0,1,4.889621
7.0,1,4.891612
8.5,1,4.89361
9.0,1,4.896601
2.0,1,4.900557
7.0,1,4.903551
8.0,1,4.905547
4.5,1,4.907569
-10,1,4.911559
9.0,1,4.914518
5.5,1,4.916513
7.5,1,4.919508
9.0,1,4.923561
7.5,1,4.925558
5.5,1,4.927549
2.5,1,4.93051
3.0,1,4.9345
6.0,1,4.936525
8.5,1,4.939517
5.5,1,4.941517
8.5,1,4.945504
5.5,1,4.948518
7.5,1,4.950488
9.0,1,4.952487
0.5,1,4.956472
8.0,1,4.959465
1.0,1,4.961461
9.5,1,4.963453
6.0,1,4.96844
-1.0,1,4.970434
5.5,1,4.972431
4.0,1,4.97539
0.0,1,4.979414
11.5,1,4.982371
3.5,1,4.984399
5.0,1,4.987398
8.0,1,4.991347
0.5,1,4.994388
10.5,1,4.996367
9.0,1,4.999325
0.0,1,5.003363
-13,1,5.00633
5.0,1,5.008348
11.0,1,5.01033
6.5,1,5.015313
11.5,1,5.01731
6.5,1,5.020293
12.5,1,5.022287
10.5,1,5.026289
7.0,1,5.028279
8.5,1,5.031242
5.5,1,5.033268
-10,1,5.038254
5.5,1,5.040248
8.5,1,5.042243
9.0,1,5.044228
8.0,1,5.049243
6.0,1,5.052218
9.0,1,5.054217
8.0,1,5.056203
8.0,1,5.060163
13.0,1,5.063159
-13,1,5.065181
11.0,1,5.068146
5.5,1,5.072134
9.0,1,5.075126
9.0,1,5.07712
11.0,1,5.079153
8.5,1,5.0841
4.5,1,5.087091
10.0,1,5.089086
5.0,1,5.091082
8.0,1,5.096112
6.0,1,5.09906
-13,1,5.102052
-10,1,5.104049
0.0,1,5.109033
10.5,1,5.111027
7.5,1,5.11402
7.5,1,5.118007
9.5,1,5.122004
6.0,1,5.124993
6.0,1,5.126987
11.5,1,5.129021
4.0,1,5.134964
5.5,1,5.136958
7.0,1,5.138952
8.0,1,5.140947
-13,1,5.144985
6.0,1,5.14793
9.0,1,5.149925
7.0,1,5.152967
-13,1,5.156958
12.5,1,5.159946
7.0,1,5.161942
8.5,1,5.163886
10.0,1,5.168925
2.0,1,5.170908
5.5,1,5.17391
8.0,1,5.175886
4.5,1,5.179893
4.0,1,5.182863
10.0,1,5.184865
5.0,1,5.186857
4.5,1,5.191848
7.0,1,5.193805
-11,1,5.195799
11.5,1,5.198798
8.5,1,5.202837
11.0,1,5.205824
10.5,1,5.207819
8.5,1,5.209764
12.5,1,5.214751
10.5,1,5.216746
5.0,1,5.219781
9.0,1,5.221756
6.0,1,5.226717
-13,1,5.229709
4.5,1,5.232701
8.5,1,5.234696
11.5,1,5.240715
5.0,1,5.242676
7.0,1,5.245702
11.0,1,5.247663
-13,1,5.252697
-13,1,5.254694
6.0,1,5.257658
7.0,1,5.259654
2.0,1,5.263668
6.5,1,5.266634
7.0,1,5.268609
6.5,1,5.271602
5.5,1,5.27559
6.5,1,5.277623
4.5,1,5.279608
7.5,1,5.282568
5.0,1,5.286588
2.0,1,5.28958
2.5,1,5.291544
8.0,1,5.293572
12.0,1,5.298528
3.0,1,5.301519
7.0,1,5.303513
10.5,1,5.305508
8.5,1,5.310244
7.0,1,5.312238
4.0,1,5.315205
1.0,1,5.317176
-13,1,5.321171
6.0,1,5.32418
8.0,1,5.326176
4.5,1,5.328192
-13,1,5.333134
6.5,1,5.335163
7.5,1,5.337126
1.5,1,5.340147
7.0,1,5.344136
9.5,1,5.346135
10.5,1,5.349124
7.5,1,5.352111
10.5,1,5.357069
-10,1,5.359063
6.5,1,5.361058
8.0,1,5.363053
7.5,1,5.368045
3.0,1,5.371075
4.5,1,5.373072
14.0,1,5.375021
10.0,1,5.379012
7.0,1,5.382004
5.0,1,5.384995
5.5,1,5.386989
10.5,1,5.391363
6.5,1,5.393352
8.0,1,5.396349
4.5,1,5.398345
4.5,1,5.404323
11.0,1,5.406318
2.0,1,5.408312
5.0,1,5.411304
10.0,1,5.416291
8.0,1,5.419283
3.0,1,5.421278
-10,1,5.423276
8.0,1,5.428263
-10,1,5.430254
7.5,1,5.433246
8.5,1,5.436244
0.5,1,5.440228
9.5,1,5.443223
4.0,1,5.445214
4.5,1,5.448205
3.0,1,5.453192
10.5,1,5.455193
9.5,1,5.458178
-13,1,5.460181
6.5,1,5.466159
6.0,1,5.469156
4.0,1,5.472142
9.0,1,5.474136
9.0,1,5.479123
6.0,1,5.481119
12.5,1,5.484109
9.0,1,5.487102
5.5,1,5.491091
7.0,1,5.494083
5.0,1,5.496077
9.5,1,5.49907
12.0,1,5.504055
7.0,1,5.506051
8.5,1,5.509043
6.0,1,5.511038
3.0,1,5.516025
4.5,1,5.519017
5.5,1,5.522008
7.0,1,5.524003
11.5,1,5.52899
2.5,1,5.530985
11.0,1,5.534974
4.0,1,5.536968
11.5,1,5.541966
10.0,1,5.543955
4.0,1,5.54696
10.0,1,5.549934
7.0,1,5.553926
5.0,1,5.55692
5.5,1,5.558914
7.5,1,5.560909
6.5,1,5.565898
8.5,1,5.568887
4.5,1,5.570883
11.0,1,5.573875
5.5,1,5.577864
6.5,1,5.580852
-13,1,5.583844
-10,1,5.58684
7.0,1,5.591827
5.0,1,5.593821
10.5,1,5.595815
4.5,1,5.598809
8.5,1,5.603792
10.0,1,5.606783
3.5,1,5.608781
1.0,1,5.610776
7.0,1,5.615758
0.0,1,5.618755
10.0,1,5.622745
7.0,1,5.625736
5.0,1,5.630723
8.0,1,5.633711
5.0,1,5.636703
5.0,1,5.639694
11.5,1,5.644681
11.0,1,5.647678
5.5,1,5.650666
6.5,1,5.653662
6.5,1,5.657652
6.5,1,5.660643
6.5,1,5.662638
0.5,1,5.665631
6.5,1,5.670616
0.0,1,5.672611
-10,1,5.675603
8.5,1,5.677598
9.5,1,5.682585
10.0,1,5.684579
10.0,1,5.687571
-13,1,5.689566
3.5,1,5.694553
14.0,1,5.696548
10.0,1,5.699534
9.5,1,5.702526
6.0,1,5.707512
7.0,1,5.709513
5.0,1,5.7125
3.0,1,5.715492
5.0,1,5.721477
7.0,1,5.724473
2.0,1,5.727464
6.0,1,5.729455
5.0,1,5.736436
4.5,1,5.738431
13.0,1,5.741423
4.5,1,5.743422
-13,1,5.748416
-13,1,5.751396
2.5,1,5.753391
4.5,1,5.756382
12.0,1,5.760372
-11,1,5.763378
13.0,1,5.766356
-10,1,5.768351
9.0,1,5.773341
-13,1,5.776329
7.5,1,5.778328
8.5,1,5.781318
11.0,1,5.786307
4.5,1,5.788301
10.0,1,5.791294
4.5,1,5.793318
9.5,1,5.79827
9.5,1,5.800265
5.0,1,5.803298
9.5,1,5.805283
2.5,1,5.809277
8.5,1,5.812234
8.5,1,5.814229
8.0,1,5.817221
6.5,1,5.82124
-13,1,5.823238
9.0,1,5.826234
1.0,1,5.828227
3.5,1,5.834174
9.0,1,5.83617
-11,1,5.839195
6.0,1,5.841191
7.0,1,5.846176
4.5,1,5.848137
7.5,1,5.851181
10.5,1,5.853157
10.0,1,5.857152
4.5,1,5.860137
5.5,1,5.862131
7.5,1,5.864132
2.5,1,5.869115
10.5,1,5.872107
-13,1,5.874101
3.5,1,5.87706
8.5,1,5.881065
1.0,1,5.884047
4.5,1,5.88604
3.5,1,5.889032
7.5,1,5.893021
6.0,1,5.89505
4.0,1,5.898004
10.5,1,5.899998
6.5,1,5.90502
8.5,1,5.90702
9.5,1,5.909008
9.0,1,5.911007
12.0,1,5.916004
9.0,1,5.918003
10.5,1,5.920944
8.5,1,5.922939
3.5,1,5.926963
6.0,1,5.928957
13.5,1,5.93095
5.5,1,5.93392
-10,1,5.93793
11.5,1,5.940893
7.5,1,5.942923
5.0,1,5.944911
6.5,1,5.950866
11.5,1,5.952889
2.5,1,5.955882
5.5,1,5.957876
-13,1,5.96187
8.5,1,5.964826
10.0,1,5.967822
2.5,1,5.969814
8.5,1,5.973837
7.5,1,5.976831
4.0,1,5.978823
4.0,1,5.980806
6.0,1,5.98582
8.0,1,5.9878
9.5,1,5.989782
8.0,1,5.992787
7.5,1,5.995743
5.0,1,5.998735
6.0,1,6.001761
5.5,1,6.003762
4.0,1,6.008743
11.5,1,6.010737
11.0,1,6.013727
3.5,1,6.015689
3.5,1,6.021702
5.5,1,6.023709
2.5,1,6.026692
10.0,1,6.028694
7.5,1,6.033644
8.0,1,6.036663
12.5,1,6.038656
4.5,1,6.041646
6.0,1,6.045657
3.0,1,6.048602
7.0,1,6.051594
6.0,1,6.053589
-13,1,6.058574
8.0,1,6.06057
10.0,1,6.062564
4.0,1,6.065557
5.5,1,6.071547
1.5,1,6.074533
7.5,1,6.07753
2.5,1,6.079519
4.0,1,6.08551
9.0,1,6.0885
9.0,1,6.090495
6.0,1,6.093482
3.5,1,6.09847
8.0,1,6.101461
8.5,1,6.104458
3.5,1,6.107444
4.0,1,6.112431
6.5,1,6.115423
14.5,1,6.118415
3.5,1,6.121407
5.5,1,6.126395
0.5,1,6.128393
9.0,1,6.131381
11.5,1,6.135371
2.5,1,6.140362
11.5,1,6.142351
-10,1,6.145348
10.0,1,6.147342
9.5,1,6.153328
10.0,1,6.155321
-13,1,6.158313
5.5,1,6.160308
-13,1,6.165291
1.5,1,6.167285
9.5,1,6.170277
7.0,1,6.172272
8.0,1,6.177258
5.5,1,6.180254
10.0,1,6.182255
2.5,1,6.185237
13.0,1,6.190224
7.0,1,6.192222
-10,1,6.195215
6.5,1,6.197205
3.5,1,6.203189
6.5,1,6.206181
3.0,1,6.208175
1.0,1,6.21017
-1.0,1,6.215158
8.5,1,6.219152
7.5,1,6.22114
5.5,1,6.224133
10.5,1,6.22912
8.5,1,6.231118
11.5,1,6.234108
4.5,1,6.236105
8.0,1,6.241092
12.0,1,6.243086
5.0,1,6.246078
8.5,1,6.248068
9.5,1,6.25306
3.0,1,6.255054
4.5,1,6.258076
3.0,1,6.260069
4.0,1,6.26406
9.0,1,6.267021
11.5,1,6.269046
5.0,1,6.272039
8.0,1,6.275994
2.5,1,6.277989
5.0,1,6.280981
13.5,1,6.282976
6.0,1,6.287998
7.5,1,6.289994
6.5,1,6.291983
10.5,1,6.294985
5.5,1,6.29993
10.5,1,6.302958
8.0,1,6.304953
8.0,1,6.30695
1.5,1,6.31098
11.5,1,6.31394
2.0,1,6.31793
3.0,1,6.319957
6.5,1,6.323947
8.0,1,6.325943
8.0,1,6.328923
11.0,1,6.330927
8.0,1,6.335921
8.5,1,6.337908
7.5,1,6.340908
10.5,1,6.342897
11.5,1,6.347898
3.5,1,6.349844
11.0,1,6.352887
7.0,1,6.354882
1.5,1,6.358845
5.5,1,6.36084
2.5,1,6.363839
3.0,1,6.365802
8.0,1,6.370822
5.5,1,6.372817
6.5,1,6.3748
3.5,1,6.377802
7.0,1,6.381763
5.5,1,6.383778
12.0,1,6.386777
11.0,1,6.388775
8.5,1,6.392755
9.0,1,6.395755
9.5,1,6.397748
8.0,1,6.400732
3.5,1,6.404697
0.5,1,6.40769
3.5,1,6.409684
8.5,1,6.411679
7.5,1,6.416668
9.0,1,6.419657
8.0,1,6.42169
3.0,1,6.424678
-11,1,6.428636
4.5,1,6.430672
6.0,1,6.433654
9.5,1,6.43565
2.0,1,6.44065
12.0,1,6.442648
7.5,1,6.444625
10.5,1,6.446618
13.5,1,6.451596
-13,1,6.454597
6.0,1,6.456592
3.0,1,6.458586
10.5,1,6.462948
9.0,1,6.465906
5.0,1,6.467933
12.0,1,6.470927
8.5,1,6.474916
11.5,1,6.476915
5.5,1,6.478901
8.5,1,6.481861
7.0,1,6.486848
-13,1,6.488847
7.0,1,6.490841
1.5,1,6.493833
4.5,1,6.497823
3.0,1,6.500812
6.0,1,6.502805
6.0,1,6.505802
5.0,1,6.509508
6.5,1,6.512471
6.0,1,6.514466
7.5,1,6.51746
-13,1,6.522441
2.5,1,6.52444
-10,1,6.52643
12.0,1,6.529425
7.0,1,6.534409
2.5,1,6.536404
7.0,1,6.539396
10.0,1,6.54139
10.0,1,6.546377
-10,1,6.549371
0.5,1,6.553358
7.0,1,6.556354
8.0,1,6.56034
10.0,1,6.562334
8.5,1,6.565328
8.0,1,6.568319
-10,1,6.572308
6.5,1,6.5753
2.5,1,6.577298
10.0,1,6.579289
5.0,1,6.585283
3.0,1,6.587271
8.0,1,6.590263
7.5,1,6.592254
6.5,1,6.596248
6.5,1,6.599236
